timestamp,consultas,hits,misses,hit_rate,miss_rate
2025-07-01 07:07:32,500,129,371,25.8,74.2
2025-07-01 07:07:33,1000,165,835,16.5,83.5
2025-07-01 07:07:40,3000,302,2698,10.07,89.93
2025-07-01 07:07:48,5000,496,4504,9.92,90.08
2025-07-01 07:07:48,500,312,188,62.4,37.6
2025-07-01 07:07:49,1000,765,235,76.5,23.5
2025-07-01 07:07:49,3000,2645,355,88.17,11.83
2025-07-01 07:07:50,5000,4539,461,90.78,9.22
2025-07-01 07:07:51,500,312,188,62.4,37.6
2025-07-01 07:07:51,1000,778,222,77.8,22.2
2025-07-01 07:07:52,3000,2734,266,91.13,8.87
2025-07-01 07:07:52,5000,4712,288,94.24,5.76
2025-07-01 07:07:52,500,316,184,63.2,36.8
2025-07-01 07:07:53,1000,778,222,77.8,22.2
2025-07-01 07:07:53,3000,2728,272,90.93,9.07
2025-07-01 07:07:54,5000,4706,294,94.12,5.88
